-100	0.0,0.0,1.0
-98	0.0,0.0,1.0
-96	0.0,0.0,1.0
-94	0.0,0.0,1.0
-92	0.0,0.0,1.0
-90	0.0,0.0,1.0
-88	0.0,0.0,2.0
-86	0.0,0.0,2.0
-84	0.0,0.0,2.0
-82	0.0,0.0,2.0
-80	0.0,0.0,2.0
-78	0.0,0.0,2.0
-76	0.0,0.0,2.0
-74	0.0,0.0,2.0
-72	0.0,0.0,2.0
-70	0.0,0.0,2.0
-68	0.0,0.0,3.0
-66	0.0,0.0,3.0
-64	0.0,0.0,3.0
-62	0.2,0.4,5.0
-60	0.0,0.0,5.0
-58	0.16666666666666666,0.372677996249965,6.0
-56	0.0,0.0,6.0
-54	0.0,0.0,6.0
-52	0.2222222222222222,0.41573970964154905,9.0
-50	0.18181818181818182,0.385694607919935,11.0
-48	0.0,0.0,11.0
-46	0.0,0.0,11.0
-44	0.13333333333333333,0.33993463423951903,15.0
-42	0.15789473684210525,0.36464227527765836,19.0
-40	0.125,0.33071891388307384,24.0
-38	0.0,0.0,26.0
-36	0.06451612903225806,0.24567010018915833,31.0
-34	0.030303030303030304,0.17141982574219336,33.0
-32	0.02564102564102564,0.15806189751202504,39.0
-30	0.14814814814814814,0.3552467795046459,54.0
-28	0.1282051282051282,0.3343180720616743,78.0
-26	0.17307692307692307,0.3783137610174231,104.0
-24	0.11678832116788321,0.32116788321167883,137.0
-22	0.10112359550561797,0.3014923115730053,178.0
-20	0.22996515679442509,0.42081015132116356,287.0
-18	0.24581005586592178,0.43056645515078645,537.0
-16	0.3803863298662704,0.48548179154025883,1346.0
-14	0.4546475078581051,0.49793890333706536,4454.0
-12	0.491516529648417,0.4999280255504725,17151.0
-10	0.5153426164980742,0.4997645486816697,70881.0
-8	0.5194817081143276,0.4996203188912038,305928.0
-6	0.5181256306856048,0.49967135350372954,1324947.0
-4	0.5146844238112812,0.49978432117997723,5647004.0
-2	0.5094882675240482,0.499909964673032,2.3605205E7
2	0.505465388807859,0.4999701286328804,2.4288025E7
4	0.503435097108765,0.4999881999686126,6187598.0
6	0.5042283628414241,0.49998212062800934,1568101.0
8	0.5099168617886585,0.4999016461787905,400177.0
10	0.5257740776643668,0.49933525503468223,105222.0
12	0.5541625207296849,0.4970577645990519,30150.0
14	0.5911567476948868,0.4916202267499688,9544.0
16	0.6633295194508009,0.4725711248859482,3496.0
18	0.7254047322540473,0.44631010147371886,1606.0
20	0.7680288461538461,0.4220906746534895,832.0
22	0.8099173553719008,0.3923661973708833,484.0
24	0.8776119402985074,0.32773346265524433,335.0
26	0.8210116731517509,0.38334254355642994,257.0
28	0.8306010928961749,0.37510387544766155,183.0
30	0.8692307692307693,0.33714780001247885,130.0
32	0.96,0.19595917942265426,100.0
34	0.891566265060241,0.31092741929069734,83.0
36	0.873015873015873,0.3329551898952862,63.0
38	0.8888888888888888,0.3142696805273545,45.0
40	0.9473684210526315,0.22329687826943606,38.0
42	0.8666666666666667,0.33993463423951903,30.0
44	0.9565217391304348,0.20393111999232302,23.0
46	0.85,0.3570714214271425,20.0
48	0.9333333333333333,0.24944382578492943,15.0
50	1.0,0.0,14.0
52	0.8461538461538461,0.36080121229410994,13.0
54	0.8181818181818182,0.38569460791993504,11.0
56	1.0,0.0,7.0
58	1.0,0.0,7.0
60	1.0,0.0,5.0
62	1.0,0.0,4.0
64	1.0,0.0,4.0
66	0.75,0.4330127018922193,4.0
68	1.0,0.0,2.0
70	0.5,0.5,2.0
72	1.0,0.0,1.0
74	1.0,0.0,1.0
76	1.0,0.0,1.0
78	1.0,0.0,1.0
80	1.0,0.0,1.0
82	1.0,0.0,1.0
84	1.0,0.0,1.0
86	1.0,0.0,1.0
88	1.0,0.0,1.0
90	1.0,0.0,1.0
92	1.0,0.0,1.0
94	1.0,0.0,1.0
-101	1.0,0.0,1.0
-99	0.0,0.0,1.0
-97	0.0,0.0,1.0
-95	0.0,0.0,1.0
-93	0.0,0.0,1.0
-91	0.0,0.0,1.0
-89	0.5,0.5,2.0
-87	0.0,0.0,2.0
-85	0.0,0.0,2.0
-83	0.0,0.0,2.0
-81	0.0,0.0,2.0
-79	0.0,0.0,2.0
-77	0.0,0.0,2.0
-75	0.0,0.0,2.0
-73	0.0,0.0,2.0
-71	0.0,0.0,2.0
-69	0.3333333333333333,0.4714045207910317,3.0
-67	0.0,0.0,3.0
-65	0.0,0.0,3.0
-63	0.25,0.4330127018922193,4.0
-61	0.0,0.0,5.0
-59	0.0,0.0,5.0
-57	0.0,0.0,6.0
-55	0.0,0.0,6.0
-53	0.14285714285714285,0.3499271061118826,7.0
-51	0.0,0.0,9.0
-49	0.0,0.0,11.0
-47	0.0,0.0,11.0
-45	0.08333333333333333,0.2763853991962833,12.0
-43	0.0625,0.24206145913796356,16.0
-41	0.09523809523809523,0.29354352395090366,21.0
-39	0.038461538461538464,0.19230769230769232,26.0
-37	0.06896551724137931,0.2533954906327426,29.0
-35	0.03125,0.17399263633843817,32.0
-33	0.13157894736842105,0.3380324362806613,38.0
-31	0.13333333333333333,0.33993463423951903,45.0
-29	0.17647058823529413,0.3812200410828153,68.0
-27	0.09302325581395349,0.29046502318132084,86.0
-25	0.1322314049586777,0.338742174081309,121.0
-23	0.1320754716981132,0.3385728008476672,159.0
-21	0.18636363636363637,0.3893998348804974,220.0
-19	0.2556390977443609,0.4362198407326402,399.0
-17	0.3292533659730722,0.469942110231116,817.0
-15	0.4309553608677514,0.4952098926789503,2397.0
-13	0.47879981464318816,0.4995503499556744,8632.0
-11	0.5133049959240713,0.49982294573524777,34348.0
-9	0.5176354545763749,0.49968889395491334,147005.0
-7	0.520581553839164,0.49957622005212143,638290.0
-5	0.5162828096131793,0.4997347997799442,2739822.0
-3	0.5120765234926439,0.49985413630411385,1.1576262E7
-1	0.5072282476229524,0.4999477497062081,4.7912166E7
1	0.50690951118414,0.4999522563757426,4.790802E7
3	0.5039117758710715,0.49998469777537646,1.2278183E7
5	0.5033463093974332,0.49998880208802343,3115223.0
7	0.5060757367652899,0.4999630840599723,790686.0
9	0.5156627450596081,0.4997546182049724,204083.0
11	0.5326577797044905,0.498932329504486,55362.0
13	0.5778192546209886,0.4939070394418708,16609.0
15	0.6275209709084419,0.48346499560833595,5603.0
17	0.7018229166666666,0.4574576595797252,2304.0
19	0.7228915662650602,0.44757049689172795,1162.0
21	0.7753164556962026,0.4173737524364475,632.0
23	0.8641025641025641,0.3426796212410919,390.0
25	0.8809523809523809,0.32384453592227247,294.0
27	0.8894230769230769,0.31360750494808526,208.0
29	0.8733333333333333,0.33259919155377127,150.0
31	0.8938053097345132,0.3080866404518444,113.0
33	0.8645833333333334,0.3421680772011842,96.0
35	0.8904109589041096,0.31237682879428436,73.0
37	0.8823529411764706,0.32218973970892123,51.0
39	0.95,0.21794494717703367,40.0
41	0.8333333333333334,0.37267799624996495,36.0
43	0.8846153846153846,0.31948553318915673,26.0
45	0.9090909090909091,0.28747978728803447,22.0
47	0.8823529411764706,0.32218973970892123,17.0
49	1.0,0.0,14.0
51	1.0,0.0,13.0
53	1.0,0.0,11.0
55	0.7777777777777778,0.41573970964154905,9.0
57	1.0,0.0,7.0
59	0.7142857142857143,0.45175395145262565,7.0
61	0.8,0.4,5.0
63	1.0,0.0,4.0
65	1.0,0.0,4.0
67	0.6666666666666666,0.4714045207910317,3.0
69	1.0,0.0,2.0
71	1.0,0.0,1.0
73	1.0,0.0,1.0
75	1.0,0.0,1.0
77	1.0,0.0,1.0
79	1.0,0.0,1.0
81	1.0,0.0,1.0
83	1.0,0.0,1.0
85	1.0,0.0,1.0
87	1.0,0.0,1.0
89	1.0,0.0,1.0
91	1.0,0.0,1.0
93	1.0,0.0,1.0
