raxesLeft,size
0,182956
raxesLeft,size
1,77103
raxesLeft,size
2,975205
raxesLeft,size
3,299994
raxesLeft,size
4,4463223
raxesLeft,size
5,1002293
raxesLeft,size
6,65710640
