Skeleton King,Templar Assassin,0.00122978876987,8541
Brewmaster,Troll Warlord,-0.00123871605601,1856
Skeleton King,Skywrath Mage,0.0012398815165,1097
Axe,Queen of Pain,0.00124036037984,24159
Bloodseeker,Bristleback,-0.00124048923623,1052
Axe,Nyx Assassin,-0.00125300701778,24811
Queen of Pain,Keeper of the Light,-0.00126176342655,17213
Clinkz,Centaur Warrunner,0.0012685192766,4488
Drow Ranger,Tidehunter,0.00127268178854,26678
Vengeful Spirit,Queen of Pain,-0.00128267826762,20630
Earthshaker,Sven,0.00131077051125,20744
Lich,Skeleton King,-0.00131369532813,10447
Necrolyte,Treant Protector,0.00132399501196,5635
Drow Ranger,Lich,0.00135816974612,15493
Necrolyte,Templar Assassin,-0.0013585880461,6749
Drow Ranger,Dark Seer,0.00137063356336,23041
Bloodseeker,Slark,-0.0013973389134,10439
Bloodseeker,Lina,0.00140136499833,13005
Necrolyte,Disruptor,-0.00140799170476,7251
Dark Seer,Tusk,0.00140866122791,2658
Faceless Void,Keeper of the Light,0.00141373379434,14589
Bloodseeker,Slardar,0.00143823717491,11996
Dark Seer,Ogre Magi,-0.00144750677568,10280
Storm Spirit,Zeus,0.00146008006535,12138
Spirit Breaker,Slark,-0.0014603757542,9869
Vengeful Spirit,Zeus,0.0014730997572,13597
Nature's Prophet,Jakiro,-0.00147368649973,21164
Earthshaker,Spectre,-0.00150567617416,9688
Axe,Huskar,-0.00151177792522,17513
Storm Spirit,Centaur Warrunner,-0.00153332091729,4574
Crystal Maiden,Shadow Fiend,-0.00153726574264,11613
Faceless Void,Ogre Magi,-0.00154076265128,8259
Lina,Death Prophet,0.00154085377515,11211
Bloodseeker,Windrunner,-0.00154749002516,19837
Night Stalker,Keeper of the Light,-0.00155302042747,8096
Huskar,Keeper of the Light,0.00157503088039,8731
Clinkz,Disruptor,0.00158201944098,5099
Witch Doctor,Nyx Assassin,0.00159070119335,12283
Razor,Bounty Hunter,0.00160533666643,10184
Axe,Outworld Devourer,0.00160811722492,11653
Tidehunter,Riki,-0.00160965245773,18583
Phantom Assassin,Silencer,0.0016129218971,13459
Sven,Io,-0.00161316299224,6739
Juggernaut,Lich,0.0016195219263,14031
Razor,Huskar,-0.00162891274142,6294
Sniper,Queen of Pain,0.00164878805498,22311
Vengeful Spirit,Troll Warlord,-0.00166214449729,2932
Spectre,Centaur Warrunner,0.00167136126672,3331
Slark,Centaur Warrunner,0.00167307349746,5064
Pudge,Medusa,-0.00167577684654,3933
Witch Doctor,Templar Assassin,-0.00171703156488,5783
Witch Doctor,Bounty Hunter,-0.00172720413599,17358
Ursa,Disruptor,-0.00173311051967,4843
Bane,Drow Ranger,-0.00175601296416,10382
Crystal Maiden,Leshrac,0.00177173825711,19129
Sand King,Centaur Warrunner,0.00177555516376,8999
Vengeful Spirit,Phantom Assassin,0.00179178838604,14271
Mirana,Lycanthrope,0.00181719222736,10144
Bloodseeker,Dark Seer,0.00181886970228,13510
Doom,Nyx Assassin,0.00182391320729,17938
Dazzle,Slark,0.00183428978705,4856
Axe,Zeus,-0.00183464321998,16966
Crystal Maiden,Lifestealer,-0.00187090846416,19648
