window	num_games	average_win_rate	standard_deviation
148	347390	0.5079639598	0.1553904619
149	346298	0.5081398102	0.1555147004
150	345106	0.5081670559	0.1556004241
151	343942	0.508249356	0.1556179419
152	342825	0.5082321884	0.1555854486
153	341678	0.5081673388	0.1554321223
154	340552	0.5080971482	0.1553852358
155	339382	0.5082670855	0.1553258907
156	338237	0.5082096282	0.15547536
157	337145	0.5081973632	0.1555603072
158	336028	0.5080787911	0.1555745956
159	334948	0.5080439352	0.1556194798
160	333839	0.5080314163	0.1557186368
161	332780	0.5080641865	0.1557561826
162	331711	0.5080322932	0.1556147658
163	330669	0.5080872413	0.1553765921
164	329663	0.5080030213	0.1553628207
165	328621	0.5079294993	0.155476509
166	327558	0.507934778	0.1554038914
167	326445	0.5080518924	0.1555496736
168	325371	0.508050195	0.1556984298
169	324367	0.5079656685	0.1557013321
170	323347	0.5078686365	0.1555771334
171	322322	0.507678967	0.1557069334
172	321286	0.5075726922	0.1556072473
173	320314	0.5075647646	0.1554133167
174	319204	0.507679415	0.1553172934
175	318180	0.5075818719	0.155153975
176	317186	0.5076336913	0.1552878804
177	316163	0.507473044	0.1555375545
178	315160	0.5077170326	0.1554770815
179	314046	0.5075176885	0.1554556671
180	313040	0.5077137107	0.1555833653
181	312063	0.5077612533	0.1556291651
182	311037	0.5078437614	0.1556341386
183	310074	0.507882957	0.1555524094
184	309062	0.5078877377	0.1556216239
185	308064	0.5081749247	0.1554934005
186	307080	0.5081662759	0.1555787247
187	306106	0.5080772674	0.1556639841
188	305136	0.5078735384	0.1555982759
189	304149	0.5081407468	0.1555089293
190	303141	0.5081516522	0.155609864
191	302189	0.508265688	0.1555511552
192	301225	0.5082928044	0.1557115188
193	300269	0.5082172985	0.1555156888
194	299220	0.5080038099	0.1554557981
195	298304	0.5079197731	0.1553985818
196	297312	0.5078402486	0.1554455465
197	296349	0.5080995718	0.1555361886
198	295450	0.5080937553	0.1555021825
199	294510	0.5080109334	0.1554884744
200	293593	0.5077719837	0.1554497632
201	292651	0.5077512122	0.1555637439
202	291724	0.5077470486	0.1553583271
203	290789	0.5078493341	0.1553103919
204	289870	0.5082016076	0.1554411137
205	288937	0.5081436438	0.1552022404
206	287978	0.5083548049	0.1552787457
207	287074	0.5081696705	0.1552256606
208	286207	0.508212238	0.1554418065
209	285270	0.5081568339	0.1557181762
210	284376	0.5085098602	0.1556749717
211	283445	0.5085910847	0.1555167758
212	282538	0.5083684319	0.1556703212
213	281624	0.508398432	0.1555161812
214	280716	0.5081765913	0.1555091542
215	279841	0.5082125207	0.155244715
216	278930	0.5079855161	0.1551331686
217	278069	0.5081440218	0.1553824608
218	277181	0.5082372168	0.1554371929
219	276299	0.5082305763	0.1554550023
220	275419	0.5079391763	0.1553462841
221	274538	0.5076750759	0.1554688469
222	273689	0.5076323857	0.1554804759
223	272766	0.507574991	0.1556854186
224	271915	0.5075553022	0.1557456
225	271031	0.507692478	0.1557038584
226	270213	0.5079640876	0.1555780823
227	269357	0.5078512903	0.1557087233
228	268472	0.5077296701	0.1557778447
229	267669	0.5077349263	0.1555927379
230	266834	0.507957007	0.1555507579
231	265987	0.5081613011	0.1556854664
232	265115	0.5082047413	0.1554272859
233	264243	0.5083642708	0.1555728902
234	263375	0.508378168	0.155553701
235	262625	0.5083369824	0.1555575093
236	261813	0.5081562031	0.1555360964
237	261043	0.5082434695	0.1556679943
238	260219	0.5082303752	0.1557709001
239	259413	0.508312228	0.1557592758
240	258640	0.5082090937	0.1556057684
241	257840	0.507960363	0.1555313692
242	257049	0.5081607009	0.1555105349
243	256238	0.5080444743	0.155456689
244	255473	0.5081261033	0.1555607694
245	254666	0.5081565659	0.1556119485
246	253868	0.5081928404	0.1555230247
247	253021	0.5082653219	0.155777473
248	252228	0.5081799007	0.1557265875
249	251435	0.5080537714	0.1558580441
250	250661	0.5078731833	0.1559985446
251	249897	0.5079108593	0.1558323746
252	249102	0.5079252676	0.1556752617
253	248320	0.5079981476	0.1555911998
254	247624	0.507963283	0.1555451425
255	246908	0.5078907933	0.1553629293
256	246176	0.5078703854	0.1552153104
257	245493	0.5078812838	0.1552649669
258	244704	0.5080076337	0.1553079722
259	244001	0.5080753767	0.1552167203
260	243182	0.5081720687	0.155318326
261	242428	0.50806755	0.1555009528
262	241704	0.5079349121	0.1552711296
263	240955	0.5079396568	0.1552188232
264	240265	0.5078954488	0.1551958388
265	239525	0.5076768605	0.155123255
266	238786	0.5076784234	0.155194383
267	238048	0.5073333949	0.1552413585
268	237350	0.5073119865	0.155036505
269	236600	0.5071043956	0.1552475761
270	235902	0.5071868827	0.1555368798
271	235212	0.5072696121	0.1556726255
272	234521	0.5073430524	0.1555752275
273	233838	0.5072986427	0.1554291968
274	233114	0.5073127311	0.1552709877
275	232417	0.5076706953	0.1550331163
276	231729	0.5076848388	0.1551564667
277	230989	0.5078826264	0.1554467534
278	230334	0.5078807297	0.1554706982
279	229645	0.5079866751	0.1554418556
280	228935	0.5078183764	0.1554875043
281	228254	0.5077672242	0.1555557848
282	227653	0.5076449684	0.155618715
283	227004	0.5074765202	0.1555146934
284	226377	0.50763726	0.1552474413
285	225706	0.5074548306	0.1552417741
286	225022	0.5073628356	0.1553314798
287	224324	0.5071659742	0.1551662399
288	223650	0.5070154259	0.1550294434
289	222980	0.5070593775	0.1548944046
290	222258	0.5071331516	0.1548635488
291	221578	0.5072376319	0.1550697414
292	220945	0.5073710652	0.1549017377
293	220269	0.5077432594	0.1548545138
294	219604	0.5075522304	0.1548580157
295	218970	0.5077791478	0.1550367476
296	218346	0.5077519167	0.1551662118
297	217751	0.5078768869	0.1551773991
298	217082	0.5078468044	0.1550903023
299	216447	0.5080301413	0.1552179384
300	215812	0.508025967	0.1553205112
301	215204	0.5081833981	0.1554870259
302	214521	0.5082481435	0.1554669358
303	213867	0.5081887341	0.1555684162
304	213261	0.5081909022	0.1554135495
305	212648	0.5079267146	0.1552711568
306	212019	0.5080563534	0.1552531556
307	211465	0.5077927789	0.1550250407
308	210859	0.5079764203	0.1549780756
309	210280	0.5079498764	0.1548487175
310	209699	0.508000515	0.1547485767
311	209080	0.5078663669	0.1546726486
312	208461	0.5075553701	0.1550430866
313	207859	0.5074670811	0.1552693016
314	207262	0.5073631442	0.1553094681
315	206691	0.5074633148	0.1555162876
316	206098	0.5075134159	0.155755877
317	205488	0.5077440045	0.1558328753
318	204919	0.5077245155	0.1556927293
319	204324	0.5074029483	0.1556292551
320	203717	0.5073209403	0.1555989893
321	203170	0.5072431954	0.1552437113
322	202589	0.5076509583	0.1551699681
323	202050	0.5076466221	0.1552277341
324	201521	0.5079540098	0.15504575
325	200987	0.5079348416	0.155140418
326	200424	0.5079591267	0.1552964584
327	199853	0.5078988056	0.1555227714
328	199293	0.5079485983	0.1556516531
329	198750	0.508191195	0.1556933728
330	198178	0.5081230005	0.1557086756
331	197623	0.508361881	0.1556742973
332	197058	0.5080666606	0.1557303185
333	196510	0.507982291	0.1555359619
334	195920	0.5079062883	0.1555465797
335	195368	0.5079291389	0.1557088789
336	194830	0.5078068059	0.1554086699
337	194303	0.5079092963	0.1553630811
338	193733	0.5078210733	0.1552847031
339	193170	0.5076678573	0.1555819327
340	192659	0.5075916516	0.155628019
341	192144	0.5073835249	0.1555844033
342	191638	0.5075595654	0.1553775296
343	191116	0.5075106218	0.1551261573
344	190613	0.5075802805	0.1552326891
345	190124	0.5075661147	0.1553626164
346	189617	0.5074676849	0.1553377895
347	189032	0.507336324	0.155446664
348	188535	0.5073599066	0.1552166991
349	187997	0.5075027793	0.1550922768
350	187476	0.5074873584	0.1549729679
351	186976	0.5074811741	0.1550561801
352	186456	0.5073615223	0.1547002392
353	185871	0.5073857675	0.1547552745
354	185355	0.5073281001	0.1548440283
355	184847	0.5070880241	0.1551605396
356	184357	0.506743438	0.1553237112
357	183842	0.5066943354	0.1550348653
358	183375	0.5065423313	0.1553573389
359	182850	0.5066426032	0.1554179119
360	182387	0.5068365618	0.1553765823
361	181877	0.5070553176	0.1552550441
362	181380	0.5068706583	0.1550626483
363	180879	0.5070079998	0.155128685
364	180397	0.5069751714	0.1549666509
365	179912	0.5070773489	0.1550808896
366	179431	0.507449103	0.1549635679
367	178974	0.5075105881	0.1546487476
368	178522	0.5078057606	0.1551177978
369	178049	0.5075614016	0.1552079015
370	177608	0.5075486465	0.1553207328
371	177192	0.5073705359	0.155295666
372	176718	0.5074067158	0.1552270118
373	176237	0.5072618122	0.1554867101
374	175743	0.5073140893	0.1553398034
375	175206	0.5076001963	0.1554753086
376	174730	0.5074440565	0.155403771
377	174238	0.5075580528	0.155130816
378	173807	0.5073581616	0.1551859768
379	173358	0.507447594	0.1552615621
380	172891	0.5074486237	0.1552446263
381	172435	0.5072549076	0.1556212101
382	171916	0.5074844692	0.1555005214
383	171459	0.5076344782	0.1555428452
384	170979	0.5074365858	0.1554698965
385	170528	0.5073319338	0.1553561246
386	170090	0.5076177318	0.1553888215
387	169673	0.5074891114	0.1552382216
388	169225	0.5074799823	0.1551726308
389	168802	0.5073636568	0.1552485923
390	168361	0.5070538902	0.1552284069
391	167921	0.5072373318	0.1553199518
392	167484	0.5071648635	0.1550900944
393	167049	0.50690935	0.1549349678
394	166636	0.5069246741	0.1550888242
395	166245	0.5069463743	0.1554646525
396	165838	0.5064424318	0.1555696415
397	165413	0.5065514802	0.1555377547
398	165031	0.5065145336	0.1553408407
399	164613	0.5066386008	0.1553069272
400	164153	0.5066925368	0.1552574481
401	163736	0.5065477354	0.1552616636
402	163351	0.5064186935	0.1552902608
403	162950	0.5064976987	0.1553560528
404	162557	0.5066684302	0.1548951774
405	162136	0.5067202842	0.1549884636
406	161733	0.5071556207	0.1550604916
407	161352	0.5070268729	0.1550805709
408	160979	0.5067574031	0.1552184444
409	160574	0.5066654627	0.1551318418
410	160174	0.5067389214	0.155199768
411	159765	0.506873846	0.1553613403
412	159396	0.5070152325	0.1554269668
413	159027	0.5070019556	0.1554357032
414	158595	0.5071704657	0.1555810565
415	158199	0.5068603468	0.1554388719
416	157785	0.5066844123	0.1554494367
417	157365	0.5067543609	0.1553856508
418	156986	0.5069846993	0.1553424226
419	156586	0.5068665142	0.1552646697
420	156208	0.5067954266	0.155355187
421	155815	0.5067535218	0.1555527706
422	155440	0.5063928204	0.1554879891
423	155019	0.5063927648	0.155600082
424	154602	0.5062508894	0.1555354387
425	154224	0.5064257184	0.1554895175
426	153902	0.5062721732	0.1554704681
427	153528	0.5060471054	0.155376812
428	153150	0.5060339536	0.1551563201
429	152776	0.5062915641	0.1550158172
430	152409	0.5064005407	0.1552047474
431	152031	0.506442765	0.1555476164
432	151666	0.5066296995	0.1555716853
